species,cpi,house sales,gas price,gold price,usd to pound,usd to euro,unemployment,s and p 500,volatility,cpi pdiff,house sales pdiff,gas price pdiff,gold price pdiff,usd to pound pdiff,usd to euro pdiff,unemployment pdiff,s and p 500 pdiff,volatility pdiff
negative,191.3142857,1233,2.0344,416.25,0.555205,0.800693,5.442857143,1103.23,15.13,0.001121328,-0.023752969,0.016488458,-0.004662841,-0.003049005,-0.00763583,-0.004355401,-0.016588818,0.005315615
neutral,191.5285714,1203,2.0324,427.15,0.544731,0.78369,5.419047619,1111.09,16.39,0.001120072,-0.0243309,-0.000983091,0.026186186,-0.018865104,-0.021235355,-0.004374453,0.007124534,0.083278255
positive,191.7,1181.863636,2.0274,425.1,0.544768,0.782737,5.4,1130.56,16.18,0.000895055,-0.017569712,-0.002460146,-0.004799251,6.79E-05,-0.001216042,-0.003514938,0.017523333,-0.012812691
positive,191.7,1196.181818,1.9946,432.3,0.539017,0.772876,5.4,1164.08,13.61,0,0.012114919,-0.016178357,0.016937191,-0.010556787,-0.012598101,0,0.029649023,-0.158838072
neutral,191.7,1210.5,1.9648,437.95,0.540495,0.7715,5.4,1175.43,13.21,0,0.011969904,-0.014940339,0.013069628,0.002742029,-0.001780363,0,0.009750189,-0.029390154
neutral,191.7,1224.818182,1.9474,447,0.537906,0.766779,5.4,1176.94,12.67,0,0.01182832,-0.008855863,0.020664459,-0.004790054,-0.006119248,0,0.001284636,-0.040878123
neutral,191.7,1239.136364,1.9382,452,0.528208,0.753345,5.4,1173.82,13.24,0,0.011690047,-0.004724248,0.011185682,-0.018029172,-0.017520042,0,-0.002650942,0.044988161
neutral,191.7636364,1249,1.8982,453.75,0.515345,0.745308,5.4,1177.07,13.67,0.000331958,0.00796009,-0.020637705,0.003871681,-0.024352149,-0.010668419,0,0.002768738,0.032477341
positive,191.8431818,1257.75,1.8406,438.6,0.521089,0.753591,5.4,1203.38,12.73,0.00041481,0.007005604,-0.030344537,-0.03338843,0.011145931,0.011113526,0,0.022352112,-0.068763716
neutral,191.9227273,1266.5,1.8102,441.85,0.515455,0.748134,5.4,1205.45,11.55,0.000414638,0.006956867,-0.016516353,0.007409941,-0.010811973,-0.007241329,0,0.001720155,-0.092694423
neutral,192.0022727,1275.25,1.7884,443.0666667,0.518009,0.736069,5.4,1213.54,12,0.000414466,0.006908804,-0.012042868,0.002753574,0.004954846,-0.01612679,0,0.006711187,0.038961039
negative,192.0818182,1284,1.781,426.8,0.5235,0.741031,5.4,1188.05,13.98,0.000414294,0.0068614,-0.004137777,-0.036713813,0.010600202,0.006741216,0,-0.021004664,0.165
neutral,192.1613636,1292.75,1.7982,422.55,0.533645,0.764849,5.4,1182.99,13.19,0.000414123,0.006814642,0.009657496,-0.009957826,0.019379179,0.032141705,0,-0.00425908,-0.056509299
positive,192.2409091,1301.5,1.8258,422.55,0.536527,0.764534,5.4,1195.98,12.47,0.000413951,0.006768517,0.015348682,0,0.005400594,-0.000411846,0,0.010980651,-0.054586808
negative,192.3204545,1310.25,1.8646,426.2,0.531997,0.765984,5.4,1168.41,14.06,0.00041378,0.006723012,0.021250958,0.008638031,-0.008443191,0.00189658,0,-0.023052225,0.127506014
positive,192.4,1319,1.9106,421.15,0.530673,0.767262,5.4,1189.41,12.03,0.000413609,0.006678115,0.024670171,-0.011848897,-0.002488736,0.001668442,0,0.017973143,-0.144381223
positive,192.575,1321.25,1.9068,411.5,0.536652,0.781239,5.35,1202.3,11.6,0.000909563,0.001705838,-0.001988904,-0.022913451,0.011266825,0.018216724,-0.009259259,0.010837306,-0.035743973
neutral,192.75,1323.5,1.8994,424.6,0.531736,0.773806,5.3,1210.12,11.27,0.000908737,0.001702933,-0.003880847,0.031834751,-0.009160499,-0.009514374,-0.009345794,0.0065042,-0.028448276
negative,192.925,1325.75,1.9096,430.75,0.52751,0.765578,5.25,1184.16,13.14,0.000907912,0.001700038,0.005370117,0.01448422,-0.007947553,-0.010633156,-0.009433962,-0.021452418,0.16592724
positive,193.1,1328,1.9422,434.65,0.520653,0.755988,5.2,1210.41,12.04,0.000907088,0.001697153,0.017071638,0.009053976,-0.012998806,-0.012526483,-0.00952381,0.022167612,-0.083713851
neutral,193.2304348,1313.217391,2.0104,434.85,0.521584,0.756296,5.2,1219.43,12.4,0.000675478,-0.011131482,0.035114818,0.00046014,0.001788139,0.000407414,0,0.00745202,0.029900332
negative,193.3608696,1298.434783,2.0666,442,0.521303,0.746164,5.2,1197.75,13.15,0.000675022,-0.011256787,0.027954636,0.016442451,-0.000538744,-0.013396871,0,-0.017778798,0.060483871
negative,193.4913043,1283.652174,2.1178,430.65,0.524368,0.756427,5.2,1171.71,14.27,0.000674567,-0.011384945,0.024774993,-0.025678733,0.005879498,0.013754349,0,-0.021740764,0.085171103
neutral,193.6217391,1268.869565,2.1658,426.95,0.535472,0.774073,5.2,1165.36,14.49,0.000674112,-0.011516055,0.02266503,-0.008591664,0.021175968,0.023328094,0,-0.00541943,0.015416959
positive,193.7,1260.651163,2.2296,423.7,0.532602,0.777396,5.190697674,1181.39,13.68,0.000404195,-0.006476948,0.029457937,-0.007612133,-0.005359757,0.004292877,-0.001788909,0.013755406,-0.055900621
neutral,193.7,1262.27907,2.2714,429.15,0.529376,0.771686,5.16744186,1187.76,11.3,0,0.001291322,0.018747757,0.012862875,-0.006057056,-0.007345034,-0.004480287,0.005391954,-0.173976608
negative,193.7,1263.906977,2.2368,426.9,0.526672,0.770551,5.144186047,1152.78,14.96,0,0.001289657,-0.015232896,-0.005242922,-0.005107901,-0.001470805,-0.00450045,-0.029450394,0.323893805
neutral,193.7,1265.534884,2.2358,434.7,0.522869,0.767897,5.120930233,1151.83,14.91,0,0.001287996,-0.000447067,0.018271258,-0.007220813,-0.003444289,-0.004520796,-0.000824095,-0.003342246
neutral,193.7,1267.162791,2.2252,429.2,0.526737,0.777676,5.097674419,1161.17,14.53,0,0.001286339,-0.004741032,-0.012652404,0.007397646,0.012734781,-0.004541326,0.008108836,-0.025486251
neutral,193.7,1268.790698,2.1814,426.9,0.530233,0.779295,5.074418605,1166.22,14.91,0,0.001284687,-0.019683624,-0.005358807,0.006637088,0.002081844,-0.004562044,0.004349062,0.026152787
neutral,193.7,1270.418605,2.1554,420.35,0.542797,0.791875,5.051162791,1173.8,14.57,0,0.001283038,-0.011918951,-0.015343172,0.023695243,0.016142796,-0.004582951,0.006499631,-0.022803488
positive,193.7,1272.046512,2.1194,418.25,0.547076,0.79554,5.027906977,1194.07,12.69,0,0.001281394,-0.016702236,-0.004995837,0.007883242,0.004628256,-0.004604052,0.0172687,-0.129032258
neutral,193.7,1273.674419,2.1008,416.9,0.548611,0.799686,5.004651163,1191.5,13.29,0,0.001279754,-0.008776069,-0.003227735,0.002805826,0.005211554,-0.004625347,-0.002152303,0.047281324
neutral,193.9181818,1294.909091,2.1188,426.6,0.549394,0.816096,5,1197.26,12.39,0.00112639,0.016671978,0.008568165,0.02326697,0.001427241,0.020520554,-0.000929368,0.004834243,-0.06772009
neutral,194.1909091,1321.045455,2.1362,426.95,0.552956,0.825737,5,1203.91,11.79,0.001406404,0.020183937,0.008212196,0.000820441,0.006483507,0.011813561,0,0.005554349,-0.04842615
neutral,194.4636364,1347.181818,2.1718,434.35,0.547795,0.819756,5,1213.61,11.08,0.001404429,0.019784606,0.016665106,0.01733224,-0.009333473,-0.007243226,0,0.008057081,-0.060220526
neutral,194.7363636,1373.318182,2.2172,437.5,0.547399,0.824317,5,1201.57,11.58,0.001402459,0.019400769,0.020904319,0.007252216,-0.000722898,0.005563851,0,-0.009920815,0.045126354
neutral,195.0142857,1376.238095,2.2464,426,0.567486,0.838945,4.99047619,1204.99,11.68,0.001427171,0.002126174,0.013169764,-0.026285714,0.036695354,0.0177456,-0.001904762,0.002846276,0.008635579
positive,195.3,1344.333333,2.3258,426.95,0.571515,0.831149,4.966666667,1222.21,10.95,0.001465094,-0.023182589,0.035345442,0.002230047,0.007099735,-0.009292623,-0.004770992,0.014290575,-0.0625
neutral,195.5857143,1312.428571,2.3114,420,0.571839,0.830188,4.942857143,1229.35,10.45,0.001462951,-0.023732776,-0.006191418,-0.016278253,0.000566914,-0.001156231,-0.004793864,0.005841877,-0.0456621
neutral,195.8714286,1280.52381,2.2894,424.5,0.573522,0.828658,4.919047619,1231.16,10.99,0.001460814,-0.024309713,-0.009518041,0.010714286,0.002943136,-0.001842956,-0.004816956,0.001472323,0.051674641
positive,196.2173913,1254.521739,2.3064,431.85,0.56687,0.822114,4.904347826,1244.12,11.75,0.001766275,-0.020305808,0.007425526,0.017314488,-0.011598509,-0.007897106,-0.002988341,0.010526658,0.069153776
negative,196.8043478,1252.130435,2.4044,434.7,0.561181,0.809636,4.926086957,1231.38,12.4,0.002991358,-0.001906148,0.042490461,0.006599514,-0.010035811,-0.015177944,0.004432624,-0.01024017,0.055319149
neutral,197.3913043,1249.73913,2.5624,440.85,0.551578,0.806698,4.947826087,1219.34,13.52,0.002982437,-0.001909789,0.06571286,0.014147688,-0.017112126,-0.003628791,0.004413063,-0.009777648,0.090322581
neutral,197.9782609,1247.347826,2.6116,439.85,0.555964,0.819304,4.969565217,1217.59,13.34,0.002973568,-0.001913443,0.019200749,-0.002268345,0.007951731,0.015626666,0.004393673,-0.001435203,-0.013313609
neutral,198.5652174,1244.956522,2.7018,436.15,0.556157,0.816392,4.991304348,1208.41,13.65,0.002964752,-0.001917111,0.034538214,-0.008411959,0.000347145,-0.003554236,0.004374453,-0.007539484,0.023238381
positive,198.7511628,1241.906977,3.0462,443.5,0.542459,0.797823,5,1233.39,12.93,0.000936445,-0.002449519,0.127470575,0.016852,-0.024629736,-0.022745201,0.00174216,0.020671792,-0.052747253
neutral,198.6697674,1238.418605,2.9212,448.7,0.547247,0.810962,5,1231.2,12.39,-0.000409534,-0.002808884,-0.041034732,0.011724915,0.008826474,0.016468565,0,-0.001775594,-0.041763341
neutral,198.5883721,1234.930233,2.7894,470,0.553814,0.820956,5,1221.34,12.64,-0.000409702,-0.002816796,-0.045118444,0.04747047,0.012000066,0.012323635,0,-0.008008447,0.020177563
neutral,198.5069767,1231.44186,2.828,465.65,0.563133,0.829213,5,1215.66,12.76,-0.00040987,-0.002824752,0.013838101,-0.009255319,0.016826949,0.010057786,0,-0.00465063,0.009493671
neutral,198.4255814,1227.953488,2.912,467.5,0.568702,0.836252,5,1214.47,13.2,-0.000410038,-0.002832754,0.02970297,0.003972941,0.009889316,0.008488772,0,-0.000978892,0.034482759
negative,198.344186,1224.465116,2.8234,475.5,0.568874,0.827647,5,1184.87,15.63,-0.000410206,-0.002840801,-0.030425824,0.017112299,0.000302443,-0.01028996,0,-0.024372772,0.184090909
neutral,198.2627907,1220.976744,2.7006,473,0.568194,0.830127,5,1178.14,15.33,-0.000410374,-0.002848895,-0.04349366,-0.005257624,-0.001195344,0.002996447,0,-0.005679948,-0.019193858
positive,198.1813953,1217.488372,2.5784,467,0.565815,0.835755,5,1196.54,14.53,-0.000410543,-0.002857034,-0.045249204,-0.012684989,-0.00418695,0.006779686,0,0.015617838,-0.052185258
neutral,198.1,1214,2.4592,465.55,0.563783,0.828894,5,1202.76,14.85,-0.000410711,-0.00286522,-0.04623022,-0.003104925,-0.00359128,-0.008209344,0,0.005198322,0.0220234
positive,198.1,1219.681818,2.36,457.15,0.572675,0.846722,4.977272727,1218.59,13.08,0,0.004680246,-0.040338321,-0.018043175,0.015772026,0.021508178,-0.004545455,0.013161395,-0.119191919
neutral,198.1,1225.363636,2.277,467.55,0.574922,0.854492,4.954545455,1229.01,12.23,0,0.004658443,-0.035169492,0.022749645,0.003923691,0.009176566,-0.00456621,0.008550866,-0.064984709
positive,198.1,1231.045455,2.1916,493,0.582063,0.851479,4.931818182,1261.23,10.6,0,0.004636842,-0.03750549,0.054432681,0.012420815,-0.003526072,-0.004587156,0.026216223,-0.133278823
neutral,198.1,1236.727273,2.1526,497.1,0.583236,0.851386,4.909090909,1257.48,11.89,0,0.004615441,-0.017795218,0.00831643,0.002015246,-0.000109222,-0.004608295,-0.002973288,0.121698113
neutral,198.1886364,1226.863636,2.1546,508.25,0.578337,0.851859,4.893181818,1263.7,11.52,0.000447432,-0.007975595,0.000929109,0.022430095,-0.008399687,0.000555565,-0.003240741,0.004946401,-0.031118587
neutral,198.3363636,1206.636364,2.1902,522.8,0.572296,0.848088,4.881818182,1267.43,11.11,0.000745387,-0.016486977,0.016522788,0.028627644,-0.010445467,-0.004426789,-0.002322341,0.00295165,-0.035590278
neutral,198.4840909,1186.409091,2.2082,505.75,0.564139,0.832853,4.870454545,1259.62,11.19,0.000744832,-0.016763354,0.008218428,-0.032612854,-0.014253114,-0.017963938,-0.002327747,-0.006162076,0.00720072
neutral,198.6318182,1166.181818,2.2052,507.3,0.574476,0.842748,4.859090909,1256.54,11.57,0.000744278,-0.017049155,-0.001358573,0.003064755,0.018323498,0.011880848,-0.002333178,-0.002445182,0.033958892
neutral,198.7795455,1145.954545,2.2558,520.75,0.580435,0.844136,4.847727273,1268.8,11.14,0.000743724,-0.017344871,0.022945765,0.026512911,0.010372931,0.001646993,-0.002338634,0.009756952,-0.037165082
positive,198.9272727,1125.727273,2.3256,545.25,0.565281,0.824714,4.836363636,1289.69,10.86,0.000743171,-0.017651025,0.030942459,0.047047528,-0.026108005,-0.023008141,-0.002344116,0.016464376,-0.02513465
neutral,199.075,1105.5,2.3232,558.05,0.564251,0.824183,4.825,1283.03,11.91,0.00074262,-0.017968182,-0.001031992,0.02347547,-0.001822103,-0.00064386,-0.002349624,-0.005164032,0.096685083
negative,199.2227273,1085.272727,2.3402,556.65,0.562929,0.819694,4.813636364,1266.86,13.31,0.000742068,-0.018296945,0.007317493,-0.002508736,-0.002342929,-0.005446606,-0.002355158,-0.012602979,0.117548279
positive,199.3704545,1065.045455,2.354,569.8,0.563632,0.822705,4.802272727,1280.08,12.95,0.000741518,-0.018637963,0.005896932,0.023623462,0.001248825,0.003673322,-0.002360718,0.010435249,-0.027047333
negative,199.46,1072,2.3304,568.25,0.568632,0.832643,4.78,1254.78,13.59,0.000449141,0.006529811,-0.010025489,-0.002720253,0.008871036,0.012079664,-0.004637956,-0.01976439,0.049420849
positive,199.535,1085.75,2.2752,540.5,0.573751,0.840308,4.755,1275.53,12.25,0.000376015,0.012826493,-0.023686921,-0.04883414,0.009002307,0.009205626,-0.005230126,0.016536763,-0.098601913
neutral,199.61,1099.5,2.2428,553.4,0.574005,0.837534,4.73,1283.03,12.41,0.000375874,0.012664057,-0.014240506,0.02386679,0.000442701,-0.003301171,-0.005257624,0.005879909,0.013061224
neutral,199.685,1113.25,2.2694,556.5,0.573693,0.842843,4.705,1280.66,12.34,0.000375733,0.012505684,0.011860175,0.005601735,-0.000543549,0.006338847,-0.005285412,-0.00184719,-0.005640612
neutral,199.8488372,1113.209302,2.338,555.25,0.569678,0.830138,4.690697674,1275.88,12.66,0.000820478,-3.66E-05,0.030228254,-0.002246181,-0.006998517,-0.015073982,-0.003039814,-0.00373245,0.025931929
positive,200.0348837,1109.72093,2.3936,545.25,0.579095,0.838682,4.679069767,1297.48,10.74,0.000930936,-0.003133617,0.023781009,-0.018009905,0.016530391,0.010292265,-0.002478929,0.016929492,-0.151658768
neutral,200.2209302,1106.232558,2.5028,553,0.570413,0.821044,4.66744186,1297.23,11.62,0.00093007,-0.003143468,0.045621658,0.014213663,-0.014992359,-0.021030617,-0.002485089,-0.000192681,0.081936685
neutral,200.4069767,1102.744186,2.516,563.75,0.573242,0.831029,4.655813953,1293.23,11.58,0.000929206,-0.00315338,0.005274093,0.019439421,0.004959564,0.012161346,-0.002491281,-0.003083493,-0.003442341
neutral,200.5930233,1099.255814,2.607,585,0.576506,0.826472,4.644186047,1305.93,11.14,0.000928343,-0.003163356,0.036168521,0.037694013,0.00569393,-0.005483563,-0.002497502,0.009820372,-0.037996546
negative,200.7790698,1095.767442,2.703,599.5,0.573747,0.826364,4.63255814,1286.57,13,0.000927482,-0.003173394,0.036823936,0.024786325,-0.004785726,-0.000130676,-0.002503756,-0.014824684,0.166965889
positive,200.9651163,1092.27907,2.8092,616.75,0.568821,0.82214,4.620930233,1307.28,11.4,0.000926623,-0.003183497,0.039289678,0.028773978,-0.008585666,-0.005111549,-0.00251004,0.016097064,-0.123076923
neutral,201.1511628,1088.790698,2.915,627.75,0.560135,0.808983,4.609302326,1301.74,11.75,0.000925765,-0.003193664,0.037661968,0.017835428,-0.015270182,-0.016003357,-0.002516356,-0.004237807,0.030701754
neutral,201.3217391,1085.478261,2.917,657.75,0.547616,0.791983,4.6,1313.21,11.99,0.000848001,-0.003042308,0.000686106,0.047789725,-0.022349969,-0.021014039,-0.002018163,0.008811283,0.020425532
neutral,201.4304348,1082.869565,2.9166,679.75,0.537498,0.785419,4.6,1325.14,11.99,0.00053991,-0.002403268,-0.000137127,0.033447358,-0.018476451,-0.008288057,0,0.009084609,0
negative,201.5391304,1080.26087,2.936,681,0.528711,0.775436,4.6,1292.08,13.35,0.000539619,-0.002409058,0.006651581,0.001838911,-0.016347968,-0.012710413,0,-0.024948307,0.113427857
negative,201.6478261,1077.652174,2.887,661.7,0.532658,0.782764,4.6,1256.58,18.26,0.000539328,-0.002414876,-0.016689373,-0.028340675,0.007465326,0.009450167,0,-0.027475079,0.367790262
neutral,201.7565217,1075.043478,2.872,652.25,0.537738,0.784711,4.6,1259.87,18.66,0.000539037,-0.002420721,-0.005195705,-0.014281396,0.009537076,0.00248734,0,0.002618218,0.021905805
neutral,201.9395349,1071.27907,2.8948,634.6,0.531335,0.773112,4.606976744,1263.85,17.34,0.000907099,-0.003501634,0.007938719,-0.027060176,-0.011907286,-0.014781238,0.001516684,0.003159056,-0.07073955
negative,202.172093,1066.744186,2.899,590.75,0.54303,0.79231,4.618604651,1223.69,23.81,0.001151623,-0.004233149,0.001450877,-0.069098645,0.022010596,0.024832107,0.002523978,-0.031775923,0.373125721
positive,202.4046512,1062.209302,2.8706,571,0.541513,0.792964,4.630232558,1240.12,16.69,0.001150298,-0.004251145,-0.009796482,-0.033432078,-0.002793584,0.000825434,0.002517623,0.013426603,-0.299034019
neutral,202.6372093,1057.674419,2.882,587.7,0.54975,0.798114,4.641860465,1239.2,16.4,0.001148976,-0.004269294,0.003971295,0.029246935,0.015211084,0.00649462,0.002511301,-0.000741864,-0.017375674
positive,202.8697674,1053.139535,2.9418,620.9,0.541726,0.781924,4.653488372,1275.55,13.6,0.001147658,-0.004287599,0.02074948,0.056491407,-0.014595725,-0.020285323,0.00250501,0.029333441,-0.170731707
neutral,203.1023256,1048.604651,2.9762,628.35,0.541233,0.781855,4.665116279,1272.43,13.14,0.001146342,-0.004306062,0.011693521,0.011998712,-0.000910054,-8.82E-05,0.002498751,-0.002446004,-0.033823529
negative,203.3348837,1044.069767,2.9918,647.5,0.545651,0.793256,4.676744186,1236.86,17.74,0.001145029,-0.004324684,0.005241583,0.030476645,0.008162843,0.014581988,0.002492522,-0.027954386,0.350076104
positive,203.5674419,1039.534884,3.0032,618.75,0.53907,0.789563,4.688372093,1268.88,14.85,0.00114372,-0.004343468,0.003810415,-0.044401544,-0.012060823,-0.004655496,0.002486325,0.025888136,-0.162908681
neutral,203.8,1035,3.0108,635.5,0.536379,0.784542,4.7,1270.92,15.05,0.001142413,-0.004362416,0.002530634,0.027070707,-0.004991931,-0.006359214,0.002480159,0.001607717,0.013468013
neutral,203.5826087,1030.869565,3.0304,645.4,0.524262,0.776948,4.656521739,1271.48,15.23,-0.001066689,-0.003990758,0.006509898,0.015578285,-0.02259037,-0.009679533,-0.009250694,0.000440626,0.011960133
positive,203.3652174,1026.73913,2.9848,624.75,0.529007,0.785565,4.613043478,1285.58,13.42,-0.001067828,-0.004006748,-0.015047518,-0.031995662,0.009050818,0.011090832,-0.009337068,0.011089439,-0.118844386
positive,203.1478261,1022.608696,2.9082,626.5,0.529994,0.777577,4.569565217,1298.82,12.19,-0.00106897,-0.004022867,-0.025663361,0.00280112,0.00186576,-0.010168477,-0.009425071,0.010298853,-0.091654247
neutral,202.9304348,1018.478261,2.8214,616.85,0.528987,0.782745,4.526086957,1304.28,12.28,-0.001070114,-0.004039116,-0.029846641,-0.015403033,-0.001900022,0.006646287,-0.009514748,0.004203816,0.007383101
neutral,202.7627907,1015.395349,2.7052,629.75,0.524778,0.778252,4.5,1313.25,12.63,-0.000826116,-0.003026979,-0.041185227,0.020912702,-0.007956717,-0.005740056,-0.005763689,0.006877358,0.028501629
neutral,202.6697674,1013.883721,2.5938,596,0.534587,0.788451,4.5,1313,11.92,-0.000458779,-0.001488709,-0.04117995,-0.053592696,0.018691713,0.01310501,0,-0.000190367,-0.05621536
neutral,202.5767442,1012.372093,2.4732,582.5,0.53207,0.789739,4.5,1317.64,11.98,-0.000458989,-0.001490928,-0.046495489,-0.022651007,-0.004708308,0.001633583,0,0.003533892,0.005033557
positive,202.4837209,1010.860465,2.3644,591.25,0.52594,0.782422,4.5,1336.35,11.53,-0.0004592,-0.001493154,-0.04399159,0.015021459,-0.01152104,-0.009265086,0,0.01419963,-0.037562604
neutral,202.3906977,1009.348837,2.3002,593,0.533452,0.788033,4.5,1334.11,12.24,-0.000459411,-0.001495387,-0.027152766,0.002959831,0.014282998,0.007171322,0,-0.001676208,0.061578491
positive,202.2976744,1007.837209,2.254,577.25,0.535033,0.793661,4.5,1353.42,11.52,-0.000459622,-0.001497627,-0.02008521,-0.026559865,0.002963716,0.007141833,0,0.014474069,-0.058823529
neutral,202.2046512,1006.325581,2.2224,594.9,0.538497,0.799263,4.5,1364.05,11.75,-0.000459834,-0.001499873,-0.014019521,0.030576007,0.006474367,0.007058429,0,0.007854177,0.019965278
neutral,202.1116279,1004.813953,2.21,578.4,0.532059,0.793984,4.5,1377.38,10.78,-0.000460045,-0.001502126,-0.005579554,-0.027735754,-0.011955498,-0.006604835,0,0.009772369,-0.082553191
neutral,202.0186047,1003.302326,2.2144,600.9,0.52671,0.785502,4.5,1377.94,11.1,-0.000460257,-0.001504386,0.00199095,0.038900415,-0.010053396,-0.010682835,0,0.000406569,0.029684601
neutral,202.2,1002.090909,2.2064,625.75,0.52638,0.786657,4.481818182,1382.84,11.09,0.000897914,-0.001207429,-0.003612717,0.041354635,-0.000626531,0.001470397,-0.004040404,0.003556033,-0.000900901
neutral,202.45,1000.954545,2.2334,623.4,0.523749,0.778637,4.459090909,1393.22,10.5,0.0012364,-0.001133993,0.012237128,-0.003755493,-0.00499829,-0.010195041,-0.005070994,0.007506291,-0.053201082
neutral,202.7,999.8181818,2.2404,625,0.528292,0.779476,4.436363636,1402.81,9.9,0.001234873,-0.00113528,0.003134235,0.00256657,0.008674002,0.001077524,-0.00509684,0.006883335,-0.057142857
negative,202.95,998.6818182,2.2562,637.75,0.516548,0.762293,4.413636364,1386.72,11.62,0.00123335,-0.00113657,0.007052312,0.0204,-0.02223013,-0.022044296,-0.005122951,-0.011469836,0.173737374
positive,203.1320952,987.8095238,2.2962,643,0.505244,0.75028,4.419047619,1414.76,11.27,0.000897242,-0.010886645,0.017728925,0.008232066,-0.021883736,-0.015759032,0.001226031,0.020220376,-0.030120482
neutral,203.2123333,962.3333333,2.2984,629.5,0.512027,0.757836,4.466666667,1411.56,10.65,0.000395005,-0.02579059,0.000958105,-0.020995334,0.013425197,0.010070907,0.010775862,-0.002261868,-0.05501331
neutral,203.2925714,936.8571429,2.3242,616,0.512363,0.76419,4.514285714,1425.55,10.3,0.000394849,-0.026473353,0.0112252,-0.021445592,0.000656215,0.0083844,0.010660981,0.00991102,-0.03286385
neutral,203.3728095,911.3809524,2.3396,625.45,0.510456,0.761576,4.561904762,1416.9,11.26,0.000394693,-0.02719325,0.006625936,0.015340909,-0.003721971,-0.003420615,0.010548523,-0.006067833,0.093203883
neutral,203.4713043,888.2608696,2.3284,640.75,0.510562,0.758932,4.595652174,1417.166667,11.88,0.000484307,-0.025368187,-0.004787143,0.024462387,0.000207657,-0.003471748,0.007397658,0.000188204,0.055062167
neutral,203.6428261,874.5652174,2.2906,612,0.517883,0.768853,4.573913043,1412.11,11.91,0.000842978,-0.015418502,-0.016234324,-0.044869294,0.014339101,0.013072317,-0.004730369,-0.003568152,0.002525253
positive,203.8143478,860.8695652,2.2162,625.6,0.509997,0.773351,4.552173913,1431.9,10.74,0.000842268,-0.015659955,-0.032480573,0.022222222,-0.015227378,0.005850273,-0.004752852,0.014014489,-0.098236776
neutral,203.9858696,847.173913,2.165,637.5,0.506507,0.771675,4.530434783,1427.99,10.34,0.000841559,-0.015909091,-0.023102608,0.019021739,-0.006843178,-0.002167192,-0.004775549,-0.002730638,-0.037243948
neutral,204.1573913,833.4782609,2.1702,642.25,0.510524,0.774075,4.508695652,1428.82,10.96,0.000840851,-0.016166282,0.002401848,0.00745098,0.007930789,0.003110118,-0.004798464,0.000581237,0.059961315
positive,204.3853,828.75,2.201,653.9,0.509329,0.772262,4.485,1448,10.65,0.001116338,-0.005672926,0.01419224,0.018139354,-0.002340732,-0.00234215,-0.005255545,0.013423664,-0.028284672
neutral,204.6508,830,2.252,664.75,0.512974,0.769415,4.46,1444.26,10.34,0.001299017,0.001508296,0.023171286,0.016592751,0.007156474,-0.003686573,-0.005574136,-0.002582873,-0.029107981
positive,204.9163,831.25,2.3134,668.6,0.512647,0.760846,4.435,1459.68,10.24,0.001297332,0.001506024,0.027264654,0.005791651,-0.000637459,-0.011137033,-0.005605381,0.010676748,-0.00967118
negative,205.1818,832.5,2.4074,684.5,0.510392,0.759247,4.41,1399.04,18.31,0.001295651,0.001503759,0.040632835,0.023781035,-0.004398738,-0.002101608,-0.005636979,-0.041543352,0.788085937
neutral,205.3903488,833.627907,2.5158,644.6,0.516917,0.760162,4.4,1395.41,15.96,0.00101641,0.001354843,0.045027831,-0.058290723,0.012784291,0.001205141,-0.002267574,-0.002594636,-0.128345167
negative,205.5609302,834.6744186,2.5626,650.5,0.517195,0.761322,4.4,1377.95,18.13,0.000830523,0.00125537,0.018602433,0.009152963,0.000537804,0.001525991,0,-0.012512452,0.135964912
positive,205.7315116,835.7209302,2.5836,654.4,0.514735,0.751404,4.4,1410.94,13.27,0.000829834,0.001253796,0.008194802,0.005995388,-0.004756426,-0.013027339,0,0.023941362,-0.268063982
positive,205.902093,836.7674419,2.6294,665.15,0.509653,0.75268,4.4,1428.61,13.48,0.000829146,0.001252226,0.017727202,0.016427262,-0.009873041,0.001698154,0,0.012523566,0.01582517
neutral,206.0726744,837.8139535,2.726,663.5,0.507428,0.748613,4.4,1437.77,13.46,0.000828459,0.00125066,0.036738419,-0.002480643,-0.004365715,-0.005403359,0,0.006411827,-0.00148368
neutral,206.2432558,838.8604651,2.8168,676.85,0.509105,0.747918,4.4,1448.39,12.68,0.000827773,0.001249098,0.033308877,0.020120573,0.003304902,-0.000928384,0,0.007386439,-0.05794948
positive,206.4138372,839.9069767,2.8746,688,0.503033,0.738298,4.4,1471.48,12.14,0.000827088,0.00124754,0.020519739,0.016473369,-0.011926813,-0.012862373,0,0.015941839,-0.042586751
neutral,206.5844186,840.9534884,2.8894,689.7,0.499563,0.736179,4.4,1480.41,13.12,0.000826405,0.001245985,0.005148542,0.00247093,-0.006898156,-0.002870115,0,0.00606872,0.080724876
neutral,206.755,842,2.9876,677.5,0.500908,0.733177,4.4,1486.3,13.51,0.000825722,0.001244435,0.033986295,-0.01768885,0.002692353,-0.004077813,0,0.003978628,0.02972561
positive,206.8591304,831.3478261,3.0638,685.9,0.501504,0.735259,4.443478261,1507.72,13.21,0.000503642,-0.012651038,0.025505422,0.012398524,0.001189839,0.002839696,0.009881423,0.014411626,-0.022205774
